RANK,NAME,WRITER,PRESSHOUSE,PRESSTIME,PRICE,SCORE,EVALUATEDPEOPLE
1,Trisomy:the past of the earth, Liu Cixin, Chongqing press,2008,23,88,341259
2,Breath, Ted Jiang, Yilin press,2019,42,92,1557
3,Trisomy II: dark forest, Liu Cixin, Chongqing press,2008,32,93,203405
4,Trisomy III: Immortal death, Liu Cixin, Chongqing press,2010,38,92,197222
5,Zuibao, [Japan] Lin Taisan, Beijing Times Chinese book office,2019,49,86,3217
6,20000 Li under the sea, [France] Jules Verne, Yilin press,2002,19.5,85,67326
7,Klein pot, okashima, chemical industry press,2019,48,88,1006
8,Qunxing, July, people's Literature Press,2019,45,85,321
9,Ball lightning, Liu Cixin, Sichuan Science and Technology Press,2005,22,87,46634
10,Wandering the earth: Liu Cixin's award-winning works, Liu Cixin, Hubei Changjiang publishing group,2008,28,86,53066
11,2001: Space Odyssey: the first part of space odyssey, Arthur Clark, Shanghai Literature and Art Press,2019,62,92,5998
12,The story of your life: Ted Jiang's science fiction collection, Ted Jiang, Yilin press,2015,36,86,18341
13,Self referential engine, [Japan] Yuancheng tower, people's Literature Press,2019,69,89,238
14,The end of Eternity: the ultimate mystery and grand conception of time travel, Isaac Asimov, Jiangsu Phoenix literature and Art Press,2014,32,90,20358
15,Bouquet for Algernon, [US] Daniel case, Guangxi Normal University Press,2015,36,90,11563
16,Galactic Empirebase seven, [US] Isaac Asimov, Jiangsu Phoenix literature and Art Press,2015,328,95,3323
17,Gods themselves: everything about the parallel universe, [US] Isaac Asimov, Jiangsu Phoenix literature and Art Press,2014,39,84,15117
18,Meeting with Rama, [British] Arthur Clark, Jiangsu Phoenix literature and Art Press,2018,42,88,3314
19,Will bionic people dream of electronic sheep? (US) Philip Dick, (US) Philip Dick, Yilin press,2013,0,87,7062
20, Beijing fold, Hao Jingfang, /,2016,0,71,4313
21,From New World (up and down), [Japan] GUI zhiyoujie, Shanghai Translation Publishing House,2014,88,90,6371
22,Neurorambler, William Gibson, Jiangsu Phoenix literature and Art Press,2013,32,81,5767
23,Central star station, [with] Ravi tidha, CITIC publishing group,2019,58,81,63
24,Galaxy Hitchhiker's guide, Douglas Adams, Shanghai Translation Press,2011,26,87,12822
25,Hebelian, (US) Dan Simmons, Jilin Publishing Group Co.,2014,59,92,4763
26,Fahrenheit 451, [US] Ray Bradbury, Shanghai Translation Press,2017,45,83,3560
27,The trilogy of the earth's past, Liu Cixin, Chongqing press,2012,168,93,16942
28,Village teacher: Selected Works of science fiction by Liu Cixin, Liu Cixin, Changjiang literature and Art Press,2012,36,85,11831
29,Longdan, [US] Robert fward, Sichuan Science and Technology Press,2019,38,86,377
30,Dune, [US] Frank Herbert, Jiangsu Phoenix literature and Art Press,2017,68,78,6132
31,Can bionic man dream of electronic sheep? [US] Philip Dick,/, Yilin press,2017,39.8,87,4825
32,Electric fantasy country, [Sweden] Simon starrenheig, Zhejiang literature and Art Press,2018,198,80,31238
